Branch,Product_line,Profit
A,Home and lifestyle,1067.5
A,Sports and travel,922.56
A,Electronic accessories,872.26
A,Food and beverages,817.34
A,Fashion accessories,777.77
A,Health and beauty,599.93
B,Sports and travel,951.88
B,Health and beauty,951.5
B,Home and lifestyle,835.72
B,Electronic accessories,812.05
B,Fashion accessories,781.65
B,Food and beverages,724.56
C,Food and beverages,1131.78
C,Fashion accessories,1026.71
C,Electronic accessories,903.3
C,Health and beauty,791.23
C,Sports and travel,750.63
C,Home and lifestyle,661.68
