Invoice_ID,Total,Product_line
228-96-1411,829.08,"Food and beverages"
574-22-5561,867.615,"Fashion accessories"
232-11-3025,827.085,"Sports and travel"
393-65-2792,939.54,"Food and beverages"
829-49-1914,822.255,"Food and beverages"
766-85-7061,922.635,"Health and beauty"
704-48-3927,931.035,"Electronic accessories"
861-77-0145,860.685,"Electronic accessories"
638-60-7125,836.304,"Electronic accessories"
219-22-9386,944.622,"Sports and travel"
549-84-7482,853.146,"Sports and travel"
731-81-9469,942.9,"Sports and travel"
280-17-4359,950.25,"Health and beauty"
743-04-1105,918.729,"Health and beauty"
234-65-2137,1003.59,"Home and lifestyle"
687-47-8271,1039.29,"Fashion accessories"
286-43-6208,829.71,"Food and beverages"
817-69-8206,942.4485,"Electronic accessories"
677-11-0152,881.307,"Food and beverages"
227-07-4446,820.365,"Electronic accessories"
860-79-0874,1042.65,"Fashion accessories"
554-42-2417,1002.12,"Sports and travel"
271-88-8734,1020.705,"Fashion accessories"
325-77-6186,951.825,"Home and lifestyle"
751-69-0068,937.818,"Sports and travel"
138-17-5109,843.0345,"Home and lifestyle"
533-33-5337,833.595,"Electronic accessories"
827-77-7633,926.9505,"Sports and travel"
283-26-5248,1034.46,"Food and beverages"
866-99-7614,936.6,"Food and beverages"
698-98-5964,852.705,"Food and beverages"
277-35-5865,935.2665,"Food and beverages"
852-62-7105,874.125,"Fashion accessories"
628-90-8624,867.09,"Health and beauty"
641-51-2661,914.55,"Food and beverages"
751-41-9720,1023.75,"Home and lifestyle"
640-48-5028,835.2855,"Home and lifestyle"
735-32-9839,829.08,"Fashion accessories"
678-79-0726,856.4535,"Sports and travel"
607-65-2441,860.475,"Health and beauty"
805-86-0265,887.922,"Home and lifestyle"
652-43-6591,817.236,"Fashion accessories"
457-94-0464,830.3715,"Electronic accessories"
744-16-7898,1022.385,"Home and lifestyle"
699-88-1972,832.944,"Health and beauty"
450-42-3339,888.405,"Health and beauty"
431-66-2305,833.9625,"Electronic accessories"
702-83-5291,943.299,"Fashion accessories"
384-59-6655,932.337,"Food and beverages"
746-04-1077,888.615,"Food and beverages"
139-32-4183,921.186,"Sports and travel"
267-62-7380,864.57,"Electronic accessories"
303-96-2227,1022.49,"Home and lifestyle"
